id,title,keywords,category,language,pages,file_ext,file_size_mb,download_count,view_count,score,price,uploader,created_at,uuid,detail_url,description
311739,虚云、净慧、南怀瑾之间的关系,"虚云,净慧,南怀瑾,之间,关系",论著 > 现代著述 > 南怀瑾,zh-CN,1,.txt,0.0,1,7,300,0,bian477,2026-08-19T13:34:05Z,9ebf2db5b72139e5,https://shu.fo/document/9ebf2db5b72139e5,"民国三大高僧, ""民国三虚"": 虚云、倓虚、太虚 http://www.douban.com/group/topic/30301322/ 相片 http://www.douban.com/photos/album/75872038/ 虚云法师、净慧法师、南怀瑾老师, 这三人之间的关系鲜为人知 南怀瑾, 很多人以为他是个文人, 以为文人学佛停留在理论研究而无真功夫实证量 实际上不是这样的, 南怀瑾老"
311738,南怀瑾选集第10卷+原本大学微言,"南怀瑾,选集,10,原本,大学,微言",论著 > 现代著述 > 南怀瑾,zh-CN,208,.txt,0.63,0,0,300,0,bian477,2026-08-19T13:34:05Z,fd2d62a7ecc16bb3,https://shu.fo/document/fd2d62a7ecc16bb3,转自 acrazybeast 的博客 南怀瑾先生—《原本大学微言》 导 读 怀师近来讲述的《大学》录音带，终于整理成册，定名《原本大学微言》。 本书名所以取“原本”（又称古本）两字，是为了有别于流行八百多年的朱子章句本。《大学》原本，是指 西汉戴圣所传《礼记》的第四十二篇原文。自宋朝朱子的章句本流行以后，其他许多注解《大学》的书，如司马 光的《大学广义》等，都已失传，甚至坊间连原本《大学》也久不流
311737,南怀瑾选集第7卷b+药师经的济世观,"南怀瑾,选集,药师,济世",论著 > 现代著述 > 南怀瑾,zh-CN,86,.txt,0.3,0,0,300,0,bian477,2026-08-19T13:34:04Z,262ba3224896f71b,https://shu.fo/document/262ba3224896f71b,药师经的济世观 南怀瑾先生讲述 -------------------------------------------------------------------------------- 第一部分 讲经缘起 我们今天开始讲‘药师经’，为什么要讲这本经呢？主要的动机是为了这里的出家同学们，将来出去弘扬佛 法的时候，必须要了解这本经。在佛教里，‘药师佛’可以说是一本在民间流传很普遍的经典，也可以
311736,南怀瑾选集第6卷a+历史的经验,"南怀瑾,选集,历史,经验",论著 > 现代著述 > 南怀瑾,zh-CN,78,.txt,0.28,0,0,300,0,bian477,2026-08-19T13:34:03Z,d1b4683427eb2727,https://shu.fo/document/d1b4683427eb2727,前言 历史本来就是人和事经验的记录，换言之，把历代人和事的经验记录下来，就成为历史。读历史有两个方向： 一是站在后世——另一个时代，另一种社会型态，另一种生活方式，从自我主观习惯出发，而又自称是客观 的观点去看历史，然后再整理那一个历史时代的人事——政治、经济、社会、教育、军事、文学、艺术等等，从 各个不同的角度去评论它、歌颂它、或讥刺它。这种研究，尽管说是客观的批判，其实，始终是有主观的成见， 
311735,南怀瑾选集第6卷b+亦新亦旧的一代,"南怀瑾,选集,一代",论著 > 现代著述 > 南怀瑾,zh-CN,5,.txt,0.01,0,0,300,0,bian477,2026-08-19T13:34:03Z,6b49eea49da3e6e6,https://shu.fo/document/6b49eea49da3e6e6,亦新亦旧的一代 本书初名《二十世纪青少年的思想与心理问题》，。1977 年 9 月出版，1984 年 3 月改为《新旧的一 代》。。。是台湾著名学者南怀瑾先生所作的专题演讲。。 昔贤有言：“中国文化存，则中国兴；中国文化绝，则中国亡。” <坡注：以上出自编书者作序的文字。> 如朽索之驭怒马 佛说：“菩萨畏因，凡夫畏果。” “疯狂与镇静剂齐飞，颓丧与麻醉品并驾” 英、德、法、意等新型国家“外用强权，
311734,南怀瑾选集第5卷c+中国佛教发展史略,"南怀瑾,选集,中国,佛教,发展,发展史",论著 > 现代著述 > 南怀瑾,zh-CN,4,.txt,0.02,0,1,300,0,bian477,2026-08-19T13:34:02Z,706578f24336d7c3,https://shu.fo/document/706578f24336d7c3,辯㊎뭼벶逞坠 ⳁ 韸異 괾 뉋疑釻능쑬릁党触 ⬵ ⵽꥿ ਃ�℘쁤 ⿖⌥趖刬 �襛宝⍜ Յ�ű 귇￫壡㎫燁辤 ᵎ 脟雜䄯쀱蒯 䃧眪娪㝧椅 ޺⣈�뛢䶴淅갬 麗䡚恤 ᛳ 礳骫呚▂砘䛥䍘냰㸓㙪 ⥻ ⠙艓 ፂ ꀂ켐䑔 ᦡɇ 쿺굗 ᬮ 컅헖 ͱ 㛰感ிܹ��蟽誼 夰輕썌 쌎 ꏧ ⤔ ꛩ 㾼䡁 ꂲ 흾긷풗ꌺ� ǹ ῅ ၴ閲觌揣誫窿겐 씟䩭愖볠픕   �ܰܰܰܰܰܰܰܰܰܰܰܰ
311733,南怀瑾选集第5卷d+中国道教发展史略,"南怀瑾,选集,中国,道教,发展,发展史",论著 > 现代著述 > 南怀瑾,zh-CN,5,.txt,0.01,0,0,300,0,bian477,2026-08-19T13:34:02Z,158cf3f58978cf48,https://shu.fo/document/158cf3f58978cf48,中国道教发展史略 --(录摘） 鬼的观念：从而下堕即为鬼。鬼者归也，故“鬼”字从田而下行，凡神散归于地称谓“鬼”，。 人秉天命而生，人的生命即天命，与天地鬼神上下通者即为神<坡注：一些“气功师”，就有这能力，是为 “人神”，佛祖当年住有余涅磐、留形住世说法四十九年，也就在这种状态罢>。散归于地，不能上下通者便为鬼。 能生万物而非万物之所生，能使神而神，鬼而鬼的即是道，归结来说：（1）形而上的全能本
311732,孟子旁通,"孟子,旁通",论著 > 现代著述 > 南怀瑾,zh-CN,106,.txt,0.39,0,0,300,0,bian477,2026-08-19T13:34:01Z,a84d48c8e2303ff7,https://shu.fo/document/a84d48c8e2303ff7,孟子旁通南怀瑾先生著 -------------------------------------------------------------------------------- 讲在前面 在讲过《论语》以后，又引起大家研究《孟子》的兴趣，希望再讲《孟子》。其实，讲到中国传统文化的经 学，我是很肤浅的，过去所讲的《论语》，也只是为了时代的需要，东拉西扯地讲了一大堆废话，想不到大家还 很爱好，这
311731,南怀瑾老师推荐的修行必背的经典,"南怀瑾,老师,推荐,修行,必背,经典",论著 > 现代著述 > 南怀瑾,zh-CN,5,.txt,0.02,1,1,300,0,bian477,2026-08-19T13:34:01Z,2cd9ccba6aef0598,https://shu.fo/document/2cd9ccba6aef0598,ꦟਔ 習 ꪏ⎆䉏靓 Ȩ 苈뎈夊㮆񥨂㝍岂䏪 ⁤ ⡚�扟酧 ᐛ 컂᳦�聛ㅰ脆 Ḍ � 矝燾 ᑧ 㽲蟄頭톸뭪㊶ 烅 ᕙ 껠뵒凌윖뢣 傎񥨂篃 ✊ 큭狶ᇍ 䶸樾 ᙍ 蔅鏜ं䓧㜣 姩 斁鉗髊향 不   ﶯ歇鉲 ᒮ⑳ 鑉鲩�ឧ 㡫긷 ⛔萴񥨂炥枕瓤틃񥨂 ⁖ ፃ 僀輺ㅭ譜 正즨㐩񥨂䠯弄  ጕ 슪 Ẻꮏ 暶撱䄊 郣 ӏ Հ 栧麻솊 ʝ 곤᢯䠰塿赅鷆㖳 ⚓ Ṱᠿᑛ 幾񥨂뛇 օᐫ 幂볢痴 ꪝ 舨讒 ᐣ 
311730,楞伽大义今释,"楞伽,大义,今释",论著 > 现代著述 > 南怀瑾,zh-CN,79,.txt,0.28,1,2,300,0,bian477,2026-08-19T13:33:59Z,3455709b9b49bb75,https://shu.fo/document/3455709b9b49bb75,"楞严大义今释楞严大义今释 南怀瑾 著 “自从一读楞严后, 不看人间糟粕书”。楞严经是宇宙人生真理探原的经典，是入门悟空的一部书，也是抱本修行，闭关修行一直到 证果跟在身边的一部书。昔日憨山大师有言“不知法华，则不知如来救世之苦心。不知楞严则不知修心迷悟之关 键。不知楞伽，则不辨知见邪正之是非”。然而楞严译文文词古奥，使佛法义理，愈形晦涩，学者往往望而止步。 现转南怀瑾先生的楞严大义今译一书，期望能"
